brand,model,ev_description
Skoda,Elroq 60,"The Skoda Elroq 60 is an electric vehicle in the JC - Medium segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.5 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 470.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Elroq 85,"The Skoda Elroq 85 is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.6 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 470.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Elroq RS,"The Skoda Elroq RS is an electric vehicle in the JC - Medium segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 470.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq 60,"The Skoda Enyaq 60 is an electric vehicle in the JC - Medium segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.1 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 585.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq 85,"The Skoda Enyaq 85 is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 585.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq 85x,"The Skoda Enyaq 85x is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 585.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq Coupe 60,"The Skoda Enyaq Coupe 60 is an electric vehicle in the JC - Medium segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 370.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.1 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq Coupe 85,"The Skoda Enyaq Coupe 85 is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 470.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq Coupe 85x,"The Skoda Enyaq Coupe 85x is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 460.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq Coupe RS,"The Skoda Enyaq Coupe RS is an electric vehicle in the JC - Medium segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 470.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 570.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Skoda,Enyaq RS,"The Skoda Enyaq RS is an electric vehicle in the JC - Medium segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 460.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 585.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Skywell,BE11 Long Range,"The Skywell BE11 Long Range is an electric vehicle in the JD - Large segment. It has a 81.0 kWh Lithium-ion battery that provides a range of approximately 390.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.6 seconds. It supports DC fast charging at up to 50.0 kW via CCS port. It offers 467.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Skywell,BE11 Standard Range,"The Skywell BE11 Standard Range is an electric vehicle in the JD - Large segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 330.0 km. The top speed is 150.0 km/h with 0-100 acceleration in 9.6 seconds. It supports DC fast charging at up to 50.0 kW via CCS port. It offers 467.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
Smart,#1 Brabus,"The Smart #1 Brabus is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 313.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Smart,#1 Premium,"The Smart #1 Premium is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 323.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#1 Pro,"The Smart #1 Pro is an electric vehicle in the JB - Compact segment. It has a 47.0 kWh Lithium-ion battery that provides a range of approximately 250.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 65.0 kW via CCS port. It offers 323.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#1 Pro+,"The Smart #1 Pro+ is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 323.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#1 Pulse,"The Smart #1 Pulse is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 4.5 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 313.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Smart,#1 Pure,"The Smart #1 Pure is an electric vehicle in the JB - Compact segment. It has a 47.0 kWh Lithium-ion battery that provides a range of approximately 250.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 65.0 kW via CCS port. It offers 323.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#1 Pure+,"The Smart #1 Pure+ is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 323.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#3 Brabus,"The Smart #3 Brabus is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 335.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 3.7 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 370.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Smart,#3 Premium,"The Smart #3 Premium is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 355.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.8 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 370.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#3 Pro,"The Smart #3 Pro is an electric vehicle in the JB - Compact segment. It has a 47.0 kWh Lithium-ion battery that provides a range of approximately 265.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 65.0 kW via CCS port. It offers 370.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#3 Pro+,"The Smart #3 Pro+ is an electric vehicle in the JB - Compact segment. It has a 62.0 kWh Lithium-ion battery that provides a range of approximately 355.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.8 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 370.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#5 Brabus,"The Smart #5 Brabus is an electric vehicle in the JD - Large segment. It has a 94.0 kWh Lithium-ion battery that provides a range of approximately 450.0 km. The top speed is 210.0 km/h with 0-100 acceleration in 3.8 seconds. It supports DC fast charging at up to 230.0 kW via CCS port. It offers 630.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Smart,#5 Premium,"The Smart #5 Premium is an electric vehicle in the JD - Large segment. It has a 94.0 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.5 seconds. It supports DC fast charging at up to 230.0 kW via CCS port. It offers 630.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#5 Pro,"The Smart #5 Pro is an electric vehicle in the JD - Large segment. It has a 74.4 kWh Lithium-ion battery that provides a range of approximately 370.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.9 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 630.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#5 Pro+,"The Smart #5 Pro+ is an electric vehicle in the JD - Large segment. It has a 94.0 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 6.5 seconds. It supports DC fast charging at up to 230.0 kW via CCS port. It offers 630.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Smart,#5 Pulse,"The Smart #5 Pulse is an electric vehicle in the JD - Large segment. It has a 94.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.9 seconds. It supports DC fast charging at up to 230.0 kW via CCS port. It offers 630.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Smart,#5 Summit Edition,"The Smart #5 Summit Edition is an electric vehicle in the JD - Large segment. It has a 94.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 4.9 seconds. It supports DC fast charging at up to 230.0 kW via CCS port. It offers 630.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Subaru,Solterra AWD,"The Subaru Solterra AWD is an electric vehicle in the JC - Medium segment. It has a 64.0 kWh Lithium-ion battery that provides a range of approximately 320.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 6.9 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 441.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Tesla,Model 3 Long Range AWD (Highland),"The Tesla Model 3 Long Range AWD (Highland) is an electric vehicle in the D - Large segment. It has a 75.0 kWh Lithium-ion battery that provides a range of approximately 525.0 km. The top speed is 201.0 km/h with 0-100 acceleration in 4.4 seconds. It supports DC fast charging at up to 124.0 kW via CCS port. It offers 594.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Tesla,Model 3 Long Range RWD (Highland),"The Tesla Model 3 Long Range RWD (Highland) is an electric vehicle in the D - Large segment. It has a 75.0 kWh Lithium-ion battery that provides a range of approximately 545.0 km. The top speed is 201.0 km/h with 0-100 acceleration in 5.2 seconds. It supports DC fast charging at up to 124.0 kW via CCS port. It offers 594.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
Tesla,Model 3 Performance (Highland),"The Tesla Model 3 Performance (Highland) is an electric vehicle in the D - Large segment. It has a 75.0 kWh Lithium-ion battery that provides a range of approximately 490.0 km. The top speed is 262.0 km/h with 0-100 acceleration in 3.2 seconds. It supports DC fast charging at up to 124.0 kW via CCS port. It offers 594.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Sedan category."
Tesla,Model 3 RWD (Highland CATL LFP64),"The Tesla Model 3 RWD (Highland CATL LFP64) is an electric vehicle in the D - Large segment. It has a 60.5 kWh Lithium-ion battery that provides a range of approximately 445.0 km. The top speed is 201.0 km/h with 0-100 acceleration in 6.1 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 594.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Sedan category."
Tesla,Model S Dual Motor,"The Tesla Model S Dual Motor is an electric vehicle in the F - Luxury segment. It has a 95.0 kWh Lithium-ion battery that provides a range of approximately 575.0 km. The top speed is 250.0 km/h with 0-100 acceleration in 3.2 seconds. It supports DC fast charging at up to 140.0 kW via CCS port. It offers 709.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Tesla,Model S Plaid,"The Tesla Model S Plaid is an electric vehicle in the F - Luxury segment. It has a 95.0 kWh Lithium-ion battery that provides a range of approximately 560.0 km. The top speed is 282.0 km/h with 0-100 acceleration in 2.3 seconds. It supports DC fast charging at up to 140.0 kW via CCS port. It offers 709.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Tesla,Model X Dual Motor,"The Tesla Model X Dual Motor is an electric vehicle in the JF - Luxury segment. It has a 95.0 kWh Lithium-ion battery that provides a range of approximately 485.0 km. The top speed is 250.0 km/h with 0-100 acceleration in 3.9 seconds. It supports DC fast charging at up to 140.0 kW via CCS port. It offers 425.0 liters of cargo space, seats 7 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Tesla,Model X Plaid,"The Tesla Model X Plaid is an electric vehicle in the JF - Luxury segment. It has a 95.0 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 262.0 km/h with 0-100 acceleration in 2.7 seconds. It supports DC fast charging at up to 140.0 kW via CCS port. It offers 425.0 liters of cargo space, seats 7 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Tesla,Model Y Long Range AWD (Juniper),"The Tesla Model Y Long Range AWD (Juniper) is an electric vehicle in the JD - Large segment. It has a 75.0 kWh Lithium-ion battery that provides a range of approximately 455.0 km. The top speed is 201.0 km/h with 0-100 acceleration in 4.8 seconds. It supports DC fast charging at up to 124.0 kW via CCS port. It offers 854.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Tesla,Model Y Long Range RWD (Juniper),"The Tesla Model Y Long Range RWD (Juniper) is an electric vehicle in the JD - Large segment. It has a 75.0 kWh Lithium-ion battery that provides a range of approximately 470.0 km. The top speed is 201.0 km/h with 0-100 acceleration in 5.6 seconds. It supports DC fast charging at up to 124.0 kW via CCS port. It offers 854.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Tesla,Model Y RWD (Juniper),"The Tesla Model Y RWD (Juniper) is an electric vehicle in the JD - Large segment. It has a 60.5 kWh Lithium-ion battery that provides a range of approximately 375.0 km. The top speed is 201.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 854.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Toyota,PROACE Verso L 75 kWh,"The Toyota PROACE Verso L 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 989.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Toyota,PROACE Verso M 50 kWh,"The Toyota PROACE Verso M 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 46.3 kWh Lithium-ion battery that provides a range of approximately 180.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 12.1 seconds. It supports DC fast charging at up to 78.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Toyota,PROACE Verso M 75 kWh,"The Toyota PROACE Verso M 75 kWh is an electric vehicle in the N - Passenger Van segment. It has a 68.0 kWh Lithium-ion battery that provides a range of approximately 260.0 km. The top speed is 130.0 km/h with 0-100 acceleration in 13.3 seconds. It supports DC fast charging at up to 79.0 kW via CCS port. It offers 603.0 liters of cargo space, seats 9 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Toyota,Proace City Verso Electric L1 50 kWh,"The Toyota Proace City Verso Electric L1 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 235.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 11.7 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 775.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Toyota,Proace City Verso Electric L2 50 kWh,"The Toyota Proace City Verso Electric L2 50 kWh is an electric vehicle in the N - Passenger Van segment. It has a 50.0 kWh Lithium-ion battery that provides a range of approximately 230.0 km. The top speed is 132.0 km/h with 0-100 acceleration in 11.7 seconds. It supports DC fast charging at up to 80.0 kW via CCS port. It offers 1050.0 liters of cargo space, seats 7 passengers, and has a FWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Toyota,bZ4X AWD,"The Toyota bZ4X AWD is an electric vehicle in the JC - Medium segment. It has a 64.0 kWh Lithium-ion battery that provides a range of approximately 345.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 6.9 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 452.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Toyota,bZ4X FWD,"The Toyota bZ4X FWD is an electric vehicle in the JC - Medium segment. It has a 64.0 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.5 seconds. It supports DC fast charging at up to 100.0 kW via CCS port. It offers 452.0 liters of cargo space, seats 5 passengers, and has a FWD drivetrain. This vehicle belongs to the SUV category."
VinFast,VF 8 Eco Extended Range,"The VinFast VF 8 Eco Extended Range is an electric vehicle in the JD - Large segment. It has a 87.7 kWh Lithium-ion battery that provides a range of approximately 405.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 376.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
VinFast,VF 8 Plus Extended Range,"The VinFast VF 8 Plus Extended Range is an electric vehicle in the JD - Large segment. It has a 87.7 kWh Lithium-ion battery that provides a range of approximately 400.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.5 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 376.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID. Buzz LWB GTX,"The Volkswagen ID. Buzz LWB GTX is an electric vehicle in the N - Passenger Van segment. It has a 86.0 kWh Lithium-ion battery that provides a range of approximately 350.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 6.5 seconds. It supports DC fast charging at up to 145.0 kW via CCS port. It offers 1340.0 liters of cargo space, seats 7 passengers, and has a AWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Volkswagen,ID. Buzz LWB Pro,"The Volkswagen ID. Buzz LWB Pro is an electric vehicle in the N - Passenger Van segment. It has a 86.0 kWh Lithium-ion battery that provides a range of approximately 370.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.9 seconds. It supports DC fast charging at up to 145.0 kW via CCS port. It offers 1340.0 liters of cargo space, seats 7 passengers, and has a RWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Volkswagen,ID. Buzz NWB GTX,"The Volkswagen ID. Buzz NWB GTX is an electric vehicle in the N - Passenger Van segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 330.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 6.5 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 1121.0 liters of cargo space, seats 6 passengers, and has a AWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Volkswagen,ID. Buzz NWB Pro,"The Volkswagen ID. Buzz NWB Pro is an electric vehicle in the N - Passenger Van segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 360.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.6 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 1121.0 liters of cargo space, seats 6 passengers, and has a RWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Volkswagen,ID. Buzz NWB Pure,"The Volkswagen ID. Buzz NWB Pure is an electric vehicle in the N - Passenger Van segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 275.0 km. The top speed is 145.0 km/h with 0-100 acceleration in 10.7 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 1121.0 liters of cargo space, seats 6 passengers, and has a RWD drivetrain. This vehicle belongs to the Small Passenger Van category."
Volkswagen,ID.3 GTX,"The Volkswagen ID.3 GTX is an electric vehicle in the C - Medium segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 470.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.9 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
Volkswagen,ID.3 GTX Performance,"The Volkswagen ID.3 GTX Performance is an electric vehicle in the C - Medium segment. It has a 79.0 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 200.0 km/h with 0-100 acceleration in 5.6 seconds. It supports DC fast charging at up to 135.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
Volkswagen,ID.3 Pro,"The Volkswagen ID.3 Pro is an electric vehicle in the C - Medium segment. It has a 59.0 kWh Lithium-ion battery that provides a range of approximately 365.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.6 seconds. It supports DC fast charging at up to 110.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
Volkswagen,ID.3 Pro S,"The Volkswagen ID.3 Pro S is an electric vehicle in the C - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 465.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 7.1 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
Volkswagen,ID.3 Pure,"The Volkswagen ID.3 Pure is an electric vehicle in the C - Medium segment. It has a 52.0 kWh Lithium-ion battery that provides a range of approximately 325.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.2 seconds. It supports DC fast charging at up to 90.0 kW via CCS port. It offers 385.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Hatchback category."
Volkswagen,ID.4 GTX,"The Volkswagen ID.4 GTX is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 420.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 543.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID.4 Pro,"The Volkswagen ID.4 Pro is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 445.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 543.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID.4 Pro 4MOTION,"The Volkswagen ID.4 Pro 4MOTION is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 435.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.6 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 543.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID.4 Pure,"The Volkswagen ID.4 Pure is an electric vehicle in the JC - Medium segment. It has a 52.0 kWh Lithium-ion battery that provides a range of approximately 285.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 9.0 seconds. It supports DC fast charging at up to 87.0 kW via CCS port. It offers 543.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID.5 GTX,"The Volkswagen ID.5 GTX is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 430.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.5 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 549.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID.5 Pro,"The Volkswagen ID.5 Pro is an electric vehicle in the JC - Medium segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 460.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.7 seconds. It supports DC fast charging at up to 120.0 kW via CCS port. It offers 549.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID.5 Pure,"The Volkswagen ID.5 Pure is an electric vehicle in the JC - Medium segment. It has a 52.0 kWh Lithium-ion battery that provides a range of approximately 320.0 km. The top speed is 160.0 km/h with 0-100 acceleration in 8.9 seconds. It supports DC fast charging at up to 87.0 kW via CCS port. It offers 549.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the SUV category."
Volkswagen,ID.7 GTX,"The Volkswagen ID.7 GTX is an electric vehicle in the E - Executive segment. It has a 86.0 kWh Lithium-ion battery that provides a range of approximately 500.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 5.4 seconds. It supports DC fast charging at up to 145.0 kW via CCS port. It offers 532.0 liters of cargo space, seats 5 passengers, and has a AWD drivetrain. This vehicle belongs to the Liftback Sedan category."
Volkswagen,ID.7 Pro,"The Volkswagen ID.7 Pro is an electric vehicle in the E - Executive segment. It has a 77.0 kWh Lithium-ion battery that provides a range of approximately 475.0 km. The top speed is 180.0 km/h with 0-100 acceleration in 6.5 seconds. It supports DC fast charging at up to 125.0 kW via CCS port. It offers 532.0 liters of cargo space, seats 5 passengers, and has a RWD drivetrain. This vehicle belongs to the Liftback Sedan category."
